Id,Serial,Batch,"Item Number","Item Type","Created at","Updated at"
1,UDISC.U.R,UDCU.SHEL.R,UDCU.SHEL.DISC.R,"Vỏ đĩa",2023-03-16T08:13:11.000000Z,2023-03-16T08:39:08.000000Z
2,UDISC.L.R,UDCL.SHEL.R,UDCL.SHEL.DISC.R,"Vỏ đĩa",2023-03-16T08:39:31.000000Z,2023-03-16T08:39:31.000000Z
3,UDISC.L2.R,UDCL.SHL.DC2.R,UDCL.SHEL.DISC2.RED,"Vỏ đĩa",2023-03-16T08:39:54.000000Z,2023-03-16T08:39:54.000000Z
4,UDISC.U.B,UDCU.SHEL.B,UDCU.SHEL.DISC.B,"Vỏ đĩa",2023-03-17T03:12:50.000000Z,2023-03-17T03:12:50.000000Z
6,UDISC.U.G,UDCU.SHEL.G,UDCU.SHEL.DISC.G,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
7,UDISC.U.P,UDCU.SHEL.P,UDCU.SHEL.DISC.P,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
8,UDISC.U.Y,UDCU.SHEL.Y,UDCU.SHEL.DISC.Y,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
9,UDISC.U.W,UDCU.SHEL.W,UDCU.SHEL.DISC.W,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
10,UDISC.L.B,UDCL.SHEL.B,UDCL.SHEL.DISC.B,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
11,UDISC.L.G,UDCL.SHEL.G,UDCL.SHEL.DISC.G,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
12,UDISC.L.P,UDCL.SHEL.P,UDCL.SHEL.DISC.P,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
13,UDISC.L.W,UDCL.SHEL.W,UDCL.SHEL.DISC.W,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
14,UDISC.L.Y,UDCL.SHEL.Y,UDCL.SHEL.DISC.Y,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
15,UDISC.L.W.B,UDCLW.SHL.DSC.B,UDCLW.SHEL.DISC.B,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
16,UDISC.L.W.G,UDCLW.SHL.DSC.G,UDCLW.SHEL.DISC.G,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
17,UDISC.L.W.P,UDCLW.SHL.DSC.P,UDCLW.SHEL.DISC.P,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
18,UDISC.L.W.R,UDCLW.SHL.DSC.R,UDCLW.SHEL.DISC.R,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
19,UDISC.U.W.B,UDCUW.SHL.DSC.B,UDCUW.SHEL.DISC.B,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
20,UDISC.U.W.G,UDCUW.SHL.DSC.G,UDCUW.SHEL.DISC.G,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
21,UDISC.U.W.P,UDCUW.SHL.DSC.P,UDCUW.SHEL.DISC.P,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
22,UDISC.U.W.R,UDCUW.SHL.DSC.R,UDCUW.SHEL.DISC.R,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
23,UDISC.L2.B,UDCL.SHL.DC2.B,UDCL.SHEL.DISC2.BLU,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
24,UDISC.L2.G,UDCL.SHL.DC2.G,UDCL.SHEL.DISC2.GRE,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
25,UDISC.L2.P,UDCL.SHL.DC2.P,UDCL.SHEL.DISC2.PUP,"Vỏ đĩa",2023-03-17T04:35:17.000000Z,2023-03-17T04:35:17.000000Z
